探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
F5F6D3G5G7C2H5D6C3C4B2E6B1C1B3G6F7B5D1F8E8D8E7H4G4H6E3A1B4C5
8,0.01,98721,7593923.08,4530,2908,1103,9,0,22262,-5.62,D2
8,0.02,182581,7607541.67,6850,4678,1238,11,0,35592,4.10,F4
10,0.06,444433,7285786.89,13860,18397,4290,18,0,110089,-3.38,D2
10,0.13,929683,7437464.00,27722,33576,7558,46,6,221420,2.25,F4
12,0.40,2831325,7096052.63,57684,132807,26495,550,101,770828,-2.37,D2
12,0.77,5486255,7134271.78,105993,251876,53801,1944,371,1528220,2.07,F4

F5D6C5F6F7F4F3B6C4E3C7G7H7G5A5F8C3G2H1B8G4G3D7C6H2B3B7E6H4B5
8,0.03,225303,8046535.71,7357,6329,1551,8,0,50601,6.22,B4
8,0.04,316437,8113769.23,13131,7473,2307,9,0,57348,-4.65,D3
10,0.21,1658015,7711697.67,40159,59526,13210,109,20,444056,6.77,B4
10,0.23,1799176,7788640.69,61573,55651,11078,99,10,354628,-4.12,D3
12,1.36,10028533,7390223.29,160729,453034,80889,6099,1029,3016427,6.04,B4
12,1.67,12424932,7453468.51,365621,466832,87699,6592,1186,2737815,-3.78,D3

D3C5B6C3C6D2E3F3G2B5E6H1B2C4F2E7E8F5G3F4E2B7A5G4C2G1C7A1B4D7
8,0.08,650635,8235886.08,30502,7582,1522,11,0,54314,-2.85,D6
8,0.11,943735,8278377.19,30747,14588,5792,19,5,221142,4.58,B1
10,0.54,4305583,8047818.69,185622,72955,13142,176,34,480059,-1.52,D6
10,0.91,7466536,8241209.71,137354,152997,47661,727,223,1983757,2.99,B1
12,3.64,28116234,7722118.65,1053186,614014,129342,11268,1870,3899864,-2.57,D6
12,5.85,46930713,8022344.10,390965,1323423,415999,51418,17116,14544398,3.27,F6

E6F6F5D6C5F4D7B6B4C7B7C8E3A7E7D3C4F3G7E8D8C6C3F7G8A4G3D2A6E2
8,0.02,146283,7699105.26,10305,3983,602,7,0,12326,14.28,A8
8,0.01,66318,8289750.00,2531,3480,689,6,0,22391,-16.71,F8
10,0.11,800537,7147651.79,58108,29070,4115,49,1,81660,14.64,A8
10,0.05,408832,7713811.32,8429,24116,3404,36,6,152179,-15.28,F8
12,0.59,3933690,6712781.57,289256,176383,24749,1018,91,466571,14.52,A8
12,0.65,4772957,7365674.38,24945,335251,52562,3505,543,1956971,-15.34,G5

C4E3F6C6C5E6F4F3C7G7F5C3D3B5B2A1A6C8C2A4B7G4A5D6D7A7A2B8G2C1
8,0.03,214797,8591880.00,9795,4792,1040,10,0,30379,-7.42,E7
8,0.03,269034,8152545.45,11460,7241,1779,13,1,63266,8.50,F2
10,0.22,1815093,8288095.89,48739,47932,10841,90,17,341252,-10.33,E7
10,0.24,1972883,8186236.51,30907,70460,17236,143,22,596488,11.99,F2
12,1.36,10876673,7991677.44,246576,354676,70127,3774,568,2311608,-11.21,F2
12,1.21,9395144,7796800.00,185898,325302,65839,3402,689,2337601,13.74,A8

D3C5D6E7B6D2E3B4C6A6D1F2E6F5F4F6D7C3C4F3A5E8E2A4G2C2B2C7G4A1
8,0.08,694042,8361951.81,18663,11696,3276,16,1,143342,-11.40,B3
8,0.07,557411,8319567.16,14275,8346,2423,14,0,95558,11.80,B1
10,0.59,4884856,8209842.02,64204,104380,29284,353,51,1135570,-10.03,B3
10,0.50,4066939,8150178.36,59040,81631,24634,232,66,915071,9.46,B1
