探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
8,0.06,455758,7234253.97,1594,7664,1281,24,0,109384,-8.99,F2
8,0.04,285711,7325923.08,359,4509,502,17,0,53954,14.39,C1
10,0.33,2346369,7025056.89,1653,56989,6174,132,6,626652,-11.04,F2
10,0.41,2832811,6960223.59,6135,49819,13712,103,18,546457,13.82,A2
12,1.52,10127959,6671909.75,8717,322016,45412,3208,287,2873889,-11.59,F2
12,1.25,8349133,6679306.40,5081,215997,28079,1412,159,1825292,14.86,C1

C4E3F5G6F3E6F7D7F2B4G5G4B3E2D3E8E7C2B5A4D2C5B2F1F4D1H7F6H3H4
8,0.13,917803,7226795.28,3505,14818,5630,57,4,195476,3.72,C3
8,0.10,724795,7472113.40,3470,14388,6002,72,7,207411,-1.92,D6
10,1.09,7530582,6927858.33,4247,158344,45359,837,174,1605601,2.88,F8
10,0.47,3188982,6858025.81,10454,104694,43783,394,99,1070502,-0.34,D8
12,7.03,46326494,6588891.20,9576,1232473,264514,44478,8232,10403609,0.66,C3
12,5.50,37838402,6875958.93,28970,1537984,385343,68474,12968,14772097,-0.13,D6

D3E3F2C5F6E6B6C3B2D2E1D1E7A1C4F3G2B4A5G7C2C1F5D8B3C6B7A4E8E2
8,0.01,98121,7547769.23,1069,3442,507,20,0,37052,-9.14,C8
8,0.04,270268,6591902.44,314,4595,338,12,0,44361,11.52,A6
10,0.12,870250,7133196.72,1515,36942,5898,65,4,373559,-11.75,C8
10,0.38,2606231,6913079.58,2101,51749,7062,104,8,454943,13.20,F1
12,0.52,3739126,7232352.03,905,195420,15715,1222,76,1689173,-12.15,C8
12,3.15,20651739,6547792.96,12314,494702,61975,7378,722,3836613,13.51,F1

F5D6C4D3C5B6C3B3B5F6D7C7E3E7E2G5C2B2A3B4D8B1F3F2F8G3G4F1D1F4
8,0.13,883994,7071952.00,1092,9976,2231,31,0,120629,26.66,A2
8,0.02,130397,7244277.78,1203,5025,1847,33,2,57491,-28.81,D2
10,1.00,6830718,6803503.98,3810,106304,19125,380,44,1063327,27.81,A2
10,0.11,788778,6919105.26,3385,41190,9478,76,10,366783,-31.69,D2
12,6.05,39228010,6487185.38,8202,830738,127288,20288,2161,6909274,28.89,A2
12,0.53,3695178,7025053.23,5778,218781,39590,1567,173,1730800,-32.62,A4

D3C3E6D6C4D2C5B5E7F4A5F7G3E8F6D7E2G4H4G5C7F3C2G2H2B3E3D1G7C6
8,0.09,647169,7271561.80,3223,12056,4109,44,0,150421,-2.85,H1
8,0.10,730776,7026692.31,3125,14185,5600,32,5,189551,1.06,B4
10,0.53,3608055,6769333.96,6513,97087,27945,384,52,947644,-2.25,B6
10,0.26,1697105,6552528.96,3981,41151,8229,88,6,380924,3.39,H3
12,3.69,23639587,6408128.76,20132,815827,201271,19772,3798,6825925,-2.28,B6
12,2.36,14511300,6146251.59,22116,465732,119017,6435,1384,3779707,4.59,B4

C4E3F2C3D3E2B2B3C2E6B4B1C1A1A3A5F7C6F5D2A4B5C5A2B7G5D6E7B6G7
8,0.04,262526,7500742.86,1742,5021,1412,28,0,58977,-9.57,D1
8,0.03,222193,7167516.13,884,6075,1744,37,1,67919,9.16,E1
10,0.25,1748531,6938615.08,4072,43795,12415,143,17,419356,-11.60,D1
10,0.18,1241024,6744695.65,1741,47483,12576,125,10,428491,11.97,E1
12,1.94,12839336,6621627.64,9368,419266,88405,5340,898,3335319,-12.55,D1
12,1.40,8977755,6398970.06,8379,404703,116070,5004,1163,3177349,12.83,F4

E6D6C4F6E7C3G6F8B2E3C6A1F3G5C2C5D3F2F1H6E2D2E8E1H4G2G3G4B6A7F5B5H1D7A6D1D8A5H7B7A8B3B1B8C8H2F4G7A4C7
8,0.00,6876,3438000.00,156,1175,463,13,0,2696,12.08,F7
8,0.00,2409,inf,27,639,124,6,0,995,-7.73,H8
10,0.00,7312,7312000.00,2565,2839,300,77,0,21,8.00,H5
9,0.00,2469,inf,833,955,83,34,0,10,-8.00,B4
10,0.00,7312,3656000.00,2565,2839,300,77,0,21,8.00,H5
9,0.00,2469,inf,833,955,83,34,0,10,-8.00,B4

E6F4D3C6D6F6F3D2G4E3C4B5B7H4H5F2G6E7H3H6F8D7C7D8H7B6E2B8F5G2C2E1A8D1A6A5B3B4C8A7H1G5F1G1C5B1B2A4A2G7
8,0.00,4044,4044000.00,78,811,218,13,0,1620,11.62,A3
8,0.00,2973,inf,75,749,224,27,0,1090,-9.73,C3
10,0.00,5921,5921000.00,1992,2347,212,138,0,51,12.00,A3
9,0.00,3154,inf,1023,1236,68,75,0,20,-12.00,C1
10,0.00,5921,5921000.00,1992,2347,212,138,0,51,12.00,A3
9,0.00,3154,3154000.00,1023,1236,68,75,0,20,-12.00,C1

C4C5E6E3C6B6D3D6A7B4F2F5G4A6A5F3A4C2B1C3B7F7D7B8G2E7E8C7B3C1G7E2D2F8D1F6B5E1G8D8G6G3C8H6F4A3A2A1H3H4
8,0.00,2119,inf,43,480,102,10,0,826,-2.17,A8
8,0.00,2768,inf,32,706,188,27,0,1097,4.15,B2
10,0.00,3128,inf,1053,1236,76,80,0,62,-4.00,A8
9,0.00,2637,inf,849,1004,59,61,0,32,4.00,H1
10,0.00,3128,3128000.00,1053,1235,76,81,0,62,-4.00,A8
9,0.00,2637,inf,849,1004,59,61,0,32,4.00,H1

F5F4C3C4C5D6F3G4H5G5E6G2D7E7F6B5A5H6H7H4D3C7E8D8F7B4E2G7C6D2D1E1B7B6A3G3H3A4C8B8H1F8E3F1G1A2B2C1G6A6
8,0.00,4058,inf,169,751,72,12,0,1439,28.70,B3
8,0.00,1817,inf,26,498,68,15,0,715,-28.41,H2
10,0.00,7959,7959000.00,2794,2844,273,128,0,85,28.00,A8
9,0.00,2238,inf,675,741,96,25,0,20,-28.00,A7
10,0.00,7959,3979500.00,2794,2842,272,130,1,85,28.00,A8
9,0.00,2238,inf,675,741,96,25,0,20,-28.00,A7

D3E3F2C5F6E2D6C2B4D7C7B6A5B7C3B3D2B5A7E1A3G1F1E6D1C6E7E8H1F5F3B2F4F7A2G7H7F8C4G5A6B8A4B1G8D8C8G2G6G3
8,0.00,1264,inf,15,335,28,11,0,466,35.30,A8
8,0.00,820,inf,7,227,15,6,0,321,-34.79,H6
10,0.00,1698,inf,605,727,42,46,0,22,38.00,A8
9,0.00,630,inf,202,241,10,9,0,3,-38.00,H6
10,0.00,1698,inf,605,726,42,47,0,22,38.00,A8
9,0.00,630,inf,202,241,10,9,0,3,-38.00,H6

F5F4E3D2C4F6G4D3G7F7F3G3E6C6E7B5G6E8D6F8B7C5A4A8B3H7G5H6C3H5G2A5D7B6E1C8E2C2H3F2G8B4F1G1B1H4D8H2B2A1
8,0.00,2213,inf,47,414,68,9,0,874,-17.89,H1
8,0.00,1116,inf,34,312,26,10,0,423,21.62,H8
10,0.00,3402,3402000.00,1109,1254,119,28,0,8,-20.00,H1
9,0.00,1680,inf,552,595,30,11,0,4,20.00,H8
10,0.00,3402,inf,1109,1254,119,28,0,8,-20.00,H1
9,0.00,1680,inf,552,595,30,11,0,4,20.00,H8

F5F4C3D6G4B2D7D8C6E3F3G5E2E1D3G3H5E6G2B5B3C4B4A2C7B6E7A4A5C2B7H4A1E8A3A7C1G6D1G1H7A6B8B1C8A8C5F6F1D2
8,0.00,2310,inf,1,510,23,11,0,930,11.04,F2
8,0.00,832,inf,50,236,20,15,0,261,-12.21,H6
10,0.00,4763,4763000.00,1711,1837,134,102,0,43,10.00,F2
9,0.00,748,inf,251,265,14,16,0,6,-10.00,H6
10,0.00,4763,4763000.00,1711,1837,134,102,0,43,10.00,F2
9,0.00,748,inf,251,265,14,16,0,6,-10.00,H6

E6D6C5F4E7B6B4D7C8A3D3C7F3E3E2D2C2F5G4G3F2D1H2B3C1H4C6G6A5E8C4G1F8A6H7G8C3B2B5H3H5B1A7A4E1G5F6F1A2H6
8,0.00,1164,inf,60,190,20,36,0,399,-53.67,D8
8,0.00,1750,inf,14,289,34,43,0,617,56.31,H8
10,0.00,3968,inf,612,1036,216,221,0,170,-54.00,D8
9,0.00,3967,inf,612,1032,216,224,0,170,54.00,H8
10,0.00,3968,inf,612,1033,214,224,2,170,-54.00,D8
9,0.00,3967,inf,612,1032,216,224,0,170,54.00,H8

