探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
8,0.00,5380,5380000.00,123,841,535,48,0,1975,-11.72,C1
10,0.00,17030,inf,1826,151,39,44,0,8901,12.00,A3
9,0.00,9174,inf,1354,83,23,31,0,3879,-12.00,C1
10,0.00,17030,inf,1826,151,39,44,0,8901,12.00,A3
9,0.00,9174,inf,1354,83,23,31,0,3879,-12.00,C1

C4C5E6E3C6B6D3D6A7B4F2F5G4A6A5F3A4C2B1C3B7F7D7B8G2E7E8C7B3C1G7E2D2F8D1F6B5E1G8D8G6G3C8H6F4A3A2A1H3H4
8,0.00,3305,inf,48,426,173,13,0,1302,-4.68,A8
8,0.00,4387,inf,82,598,358,29,0,1701,3.90,H1
10,0.00,6147,inf,568,75,19,20,0,3321,-4.00,A8
9,0.00,5528,inf,568,46,8,20,0,2846,4.00,H1
10,0.00,6147,inf,568,75,19,20,0,3321,-4.00,A8
9,0.00,5528,inf,568,46,8,20,0,2846,4.00,H1

F5F4C3C4C5D6F3G4H5G5E6G2D7E7F6B5A5H6H7H4D3C7E8D8F7B4E2G7C6D2D1E1B7B6A3G3H3A4C8B8H1F8E3F1G1A2B2C1G6A6
8,0.00,5687,5687000.00,43,728,246,11,0,2168,27.94,H8
8,0.00,2903,inf,36,541,248,31,0,1158,-27.09,B3
10,0.00,10075,inf,340,122,21,14,0,6595,28.00,A8
9,0.00,2169,inf,242,31,1,8,0,1056,-28.00,A7
10,0.00,10075,inf,340,122,21,14,0,6595,28.00,A8
9,0.00,2169,inf,242,31,1,8,0,1056,-28.00,A7

D3E3F2C5F6E2D6C2B4D7C7B6A5B7C3B3D2B5A7E1A3G1F1E6D1C6E7E8H1F5F3B2F4F7A2G7H7F8C4G5A6B8A4B1G8D8C8G2G6G3
8,0.00,2487,inf,41,380,159,14,0,898,34.79,A8
8,0.00,1069,inf,14,188,73,11,0,420,-38.55,H6
10,0.00,2694,inf,92,71,8,6,0,1720,38.00,A8
9,0.00,866,inf,92,19,0,5,0,411,-38.00,H6
10,0.00,2694,inf,92,71,8,6,0,1720,38.00,A8
9,0.00,866,inf,92,19,0,5,0,411,-38.00,H6

F5F4E3D2C4F6G4D3G7F7F3G3E6C6E7B5G6E8D6F8B7C5A4A8B3H7G5H6C3H5G2A5D7B6E1C8E2C2H3F2G8B4F1G1B1H4D8H2B2A1
8,0.00,3672,inf,66,443,208,12,0,1338,-17.89,H1
8,0.00,2221,inf,66,318,145,13,0,769,21.62,H8
10,0.00,6199,inf,498,76,2,12,0,3561,-20.00,H1
9,0.00,2961,inf,498,31,1,9,0,1138,20.00,H8
10,0.00,6199,inf,498,76,2,12,0,3561,-20.00,H1
9,0.00,2961,inf,498,31,1,9,0,1138,20.00,H8

F5F4C3D6G4B2D7D8C6E3F3G5E2E1D3G3H5E6G2B5B3C4B4A2C7B6E7A4A5C2B7H4A1E8A3A7C1G6D1G1H7A6B8B1C8A8C5F6F1D2
8,0.00,3989,inf,23,521,157,15,0,1495,12.21,F2
8,0.00,1393,inf,16,272,87,16,0,538,-10.71,H6
10,0.00,8210,inf,174,86,6,14,0,5446,10.00,F2
9,0.00,1280,inf,174,25,0,11,0,505,-10.00,H6
10,0.00,8210,inf,174,86,6,14,0,5446,10.00,F2
9,0.00,1280,inf,174,25,0,11,0,505,-10.00,H6

