探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
8,0.07,534928,7132373.33,2215,7998,2286,38,1,125076,-8.99,G6
8,0.07,460956,6680521.74,1475,5534,2173,32,0,86012,10.82,F6
10,0.72,4773085,6629284.72,13115,85431,24799,286,36,1172551,-7.88,F6
10,0.41,2787009,6847687.96,3440,44659,9978,90,18,562891,10.23,C7
12,5.78,38814755,6715355.54,29256,799624,207017,18867,3747,10043652,-8.36,E6
12,2.52,16455544,6537760.83,6996,372400,77038,4335,866,3841197,6.80,C7

F5D6C5B6C4F4E6E3G3B4D2F7A4B3B2
8,0.07,483386,6808253.52,1919,5282,2003,45,0,81974,22.34,A3
8,0.02,169047,7043625.00,522,3653,561,28,0,48349,-20.37,C6
10,0.54,3774262,6976454.71,6463,49237,14655,157,20,683735,19.76,F3
10,0.23,1676479,7133953.19,3976,31517,5422,65,3,432998,-20.27,D3
12,5.00,33055310,6608418.63,14661,477213,123389,6884,1337,5972154,20.95,F3
12,1.91,13104679,6857498.17,4918,290149,43084,2491,192,3678608,-19.42,D3

F5F4G3E6F7H2D3E7E8C4C3G8C5G6G5H6G4D7H5H3F3F2C8B3G2E3D6H4C2C7
8,0.04,246050,6475000.00,2362,7417,2723,39,0,72126,-1.86,F8
8,0.02,129938,5906272.73,688,4325,1474,28,0,33595,-0.52,D8
10,0.24,1457884,6074516.67,5369,54828,17228,170,32,440032,0.39,F8
10,0.13,773370,5949000.00,3168,30888,8414,86,2,222459,-1.10,D8
12,1.31,7652093,5827945.93,15718,344940,85700,3731,865,2329217,0.40,F8
12,0.79,4481794,5680347.28,14382,202933,48807,1384,244,1365807,-0.46,D8

F5F6D3E3F7C5D6C6F2C4B6G6C3C2H5G7E2E7C1B1F3G5H7B5E6E1H4C7B4G3
8,0.03,214202,6490969.70,506,4502,452,20,0,40175,19.62,F4
8,0.02,100464,5909647.06,467,4086,855,23,1,34820,-16.58,D1
